seed,net_worth,trades,final_cash,final_position
44287,10236.779822290298,2,10236.779822290298,0.0
44288,10715.068122672285,6,10715.068122672285,0.0
44289,10867.565598448808,6,10867.565598448808,0.0
44290,8829.577130457381,1,73.23291507955037,98.0
44291,8963.835427578195,5,6.409952787877046,112.0
44292,10936.39168715513,6,10936.39168715513,0.0
44293,9733.562902039173,3,52.435315544356854,106.0
44294,8472.6675061818,1,72.92228253694884,98.0
44295,10205.87219757116,2,10205.87219757116,0.0
44296,10219.191685698828,2,10219.191685698828,0.0
44297,10253.723427816332,2,10253.723427816332,0.0
44298,10559.236015089045,4,10559.236015089045,0.0
44299,9497.088142245633,1,14.309415460498712,98.0
44300,10486.37694064567,4,10486.37694064567,0.0
44301,10430.465828474617,4,10430.465828474617,0.0
44302,10502.85686254606,4,10502.85686254606,0.0
44303,10207.406796012709,2,10207.406796012709,0.0
44304,10492.909168133592,4,10492.909168133592,0.0
44305,9648.901126984012,5,63.960891514387185,109.0
44306,10679.015147719054,6,10679.015147719054,0.0
44307,8402.517695044135,1,16.233966229770886,99.0
44308,10485.252129290695,4,10485.252129290695,0.0
44309,10214.027158902083,2,10214.027158902083,0.0
44310,10662.539827538094,4,10662.539827538094,0.0
44311,10235.802483687326,2,10235.802483687326,0.0
44312,9481.55025551731,5,85.75399529480092,111.0
44313,8963.433160202037,1,15.438573851874025,99.0
44314,10561.921184640385,4,10561.921184640385,0.0
44315,6604.061883779075,3,45.17524406868688,107.0
44316,10214.249691838038,2,10214.249691838038,0.0
44317,10298.703063414874,2,10298.703063414874,0.0
44318,10788.343930548024,6,10788.343930548024,0.0
44319,10950.201677834042,6,10950.201677834042,0.0
44320,5950.754060141508,5,80.00466570155731,108.0
44321,7639.6302911851335,1,29.94986672813684,97.0
44322,10208.42198663829,2,10208.42198663829,0.0
44323,10540.653312729464,4,10540.653312729464,0.0
44324,10753.601918113894,6,10753.601918113894,0.0
44325,9414.961745374721,1,17.675794573220628,100.0
44326,10720.314930958923,6,10720.314930958923,0.0
44327,9100.684730982417,5,35.91285610670457,111.0
44328,7443.740177152854,3,72.5276171409023,104.0
44329,9789.283099764969,1,13.913241651665885,99.0
44330,10387.21844770929,5,82.0620733121632,111.0
44331,10748.597454423823,4,10748.597454423823,0.0
44332,11087.267961984668,9,74.67721829560469,128.0
44333,10265.251241085118,2,10265.251241085118,0.0
44334,10806.505583645203,6,10806.505583645203,0.0
44335,10244.085148760354,2,10244.085148760354,0.0
44336,10676.941385223714,4,10676.941385223714,0.0
44337,10446.474652779647,4,10446.474652779647,0.0
44338,5513.71225932796,1,47.4251763395514,98.0
44339,11413.463895543324,10,11413.463895543324,0.0
44340,6004.416105498889,1,20.51508851661856,99.0
44341,10281.82213331334,2,10281.82213331334,0.0
44342,10702.562702168207,4,10702.562702168207,0.0
44343,10200.11495318683,2,10200.11495318683,0.0
44344,10590.277052978634,4,10590.277052978634,0.0
44345,10605.789363037493,4,10605.789363037493,0.0
44346,10233.860897072997,2,10233.860897072997,0.0
44347,9452.34837807862,3,28.81541089258826,109.0
44348,9676.595508897806,1,91.05278792283389,98.0
44349,10230.48170454877,2,10230.48170454877,0.0
44350,6308.537603217634,1,13.744541753967496,101.0
44351,5760.471306301684,1,30.546842564319377,100.0
44352,7740.941785116487,1,65.27123025968103,99.0
44353,9983.17098802768,5,0.5891808714004583,115.0
44354,10724.319708356801,6,10724.319708356801,0.0
44355,6035.810039671127,1,55.08351369122829,99.0
44356,10449.68435562471,4,10449.68435562471,0.0
44357,10551.202190734719,4,10551.202190734719,0.0
44358,10326.397176804687,2,10326.397176804687,0.0
44359,10222.717070397317,2,10222.717070397317,0.0
44360,10437.618742133818,4,10437.618742133818,0.0
44361,9652.59204101663,1,97.97731815703082,101.0
44362,10339.295769932078,2,10339.295769932078,0.0
44363,8443.051717398763,3,65.08763673961766,105.0
44364,10803.922970752878,6,10803.922970752878,0.0
44365,10454.782714972489,4,10454.782714972489,0.0
44366,10375.462528120386,2,10375.462528120386,0.0
44367,9814.493044990997,3,32.142753388185156,107.0
